,serial_no,date,delta_t_ms,on-off,active_power_mw,output_voltage_v,output_current_ma,cg_temperature_cel
44283,30,2022-05-15 05:49:15.649,942,0.0,13.0,0.0,0.0,-170.0
44285,30,2022-05-15 05:50:15.650,943,0.0,13.0,0.0,0.0,-170.0
44287,30,2022-05-15 05:51:15.649,942,0.0,13.0,0.0,0.0,-170.0
44289,30,2022-05-15 05:52:15.650,941,0.0,13.0,0.0,0.0,-170.0
44291,30,2022-05-15 05:53:15.653,942,0.0,13.0,0.0,0.0,-170.0
44293,30,2022-05-15 05:54:15.650,942,0.0,13.0,0.0,0.0,-170.0
44295,30,2022-05-15 05:55:15.650,942,0.0,13.0,0.0,0.0,-170.0
44297,30,2022-05-15 05:56:15.650,942,0.0,13.0,0.0,0.0,-170.0
44299,30,2022-05-15 05:57:15.651,942,0.0,13.0,0.0,0.0,-170.0
44301,30,2022-05-15 05:58:15.650,942,0.0,13.0,0.0,0.0,-160.0
44303,30,2022-05-15 05:59:15.650,942,0.0,13.0,0.0,0.0,-140.0
44305,30,2022-05-15 06:00:15.651,942,0.0,13.0,0.0,0.0,-140.0
44307,30,2022-05-15 06:01:15.650,942,0.0,13.0,0.0,0.0,-150.0
44309,30,2022-05-15 06:02:15.651,941,0.0,13.0,0.0,0.0,-150.0
44311,30,2022-05-15 06:03:15.650,941,0.0,13.0,0.0,0.0,-150.0
44313,30,2022-05-15 06:04:15.653,942,0.0,13.0,0.0,0.0,-150.0
44315,30,2022-05-15 06:05:15.648,941,0.0,13.0,0.0,0.0,-140.0
44317,30,2022-05-15 06:06:15.650,942,0.0,13.0,0.0,0.0,-130.0
44319,30,2022-05-15 06:07:15.647,679,1.0,20083.0,1377.0,13990.0,-90.0
44321,30,2022-05-15 06:08:23.650,681,1.0,19963.0,1372.0,13990.0,-50.0
44323,30,2022-05-15 06:09:35.651,680,1.0,19911.0,1370.0,13990.0,
44325,30,2022-05-15 06:10:43.650,679,1.0,19884.0,1369.0,13990.0,50.0
44327,30,2022-05-15 06:11:43.655,680,1.0,19868.0,1368.0,13990.0,110.0
44329,30,2022-05-15 06:12:55.651,679,1.0,19865.0,1367.0,13990.0,170.0
44331,30,2022-05-15 06:14:15.651,681,1.0,19867.0,1366.0,13990.0,270.0
44333,30,2022-05-15 06:15:15.650,680,1.0,19879.0,1365.0,13990.0,330.0
44335,30,2022-05-15 06:16:23.650,679,1.0,19892.0,1365.0,13990.0,410.0
44338,30,2022-05-15 06:17:43.650,680,1.0,19917.0,1364.0,13990.0,530.0
44340,30,2022-05-15 06:18:55.651,679,1.0,19943.0,1363.0,13990.0,610.0
44342,30,2022-05-15 06:19:53.968,12586,1.0,,,,
44343,30,2022-05-15 06:19:55.652,11613,1.0,19969.0,1363.0,13990.0,690.0
44345,30,2022-05-15 06:21:03.648,12110,1.0,19992.0,1363.0,13990.0,750.0
44347,30,2022-05-15 06:22:15.650,680,1.0,20005.0,1362.0,13990.0,790.0
44349,30,2022-05-15 06:23:23.651,682,1.0,20018.0,1362.0,13990.0,810.0
44351,30,2022-05-15 06:24:31.649,681,1.0,20029.0,1362.0,13990.0,850.0
44353,30,2022-05-15 06:25:43.651,681,1.0,2004.0,1362.0,13990.0,850.0
44355,30,2022-05-15 06:26:51.649,681,1.0,20048.0,1362.0,13990.0,870.0
44357,30,2022-05-15 06:27:51.649,680,1.0,20054.0,1361.0,13990.0,890.0
44359,30,2022-05-15 06:28:59.652,681,1.0,2006.0,1362.0,13990.0,910.0
44361,30,2022-05-15 06:30:11.649,681,1.0,2007.0,1361.0,13990.0,910.0
44363,30,2022-05-15 06:31:19.651,681,1.0,20078.0,1361.0,13990.0,930.0
44365,30,2022-05-15 06:32:27.650,681,1.0,20084.0,1362.0,13990.0,930.0
44367,30,2022-05-15 06:33:39.650,682,1.0,20094.0,1361.0,13990.0,950.0
44369,30,2022-05-15 06:34:39.647,11063,1.0,20098.0,1362.0,13990.0,950.0
44371,30,2022-05-15 06:35:47.651,680,1.0,20102.0,1362.0,13990.0,950.0
44373,30,2022-05-15 06:36:55.653,682,1.0,20108.0,1362.0,13990.0,950.0
44376,30,2022-05-15 06:38:03.651,680,1.0,20112.0,1362.0,13990.0,950.0
44378,30,2022-05-15 06:39:08.485,12587,1.0,,,,
44379,30,2022-05-15 06:39:23.649,681,1.0,20113.0,1362.0,13990.0,950.0
44381,30,2022-05-15 06:40:23.651,681,1.0,20119.0,1362.0,13990.0,970.0
44383,30,2022-05-15 06:41:35.652,681,1.0,20122.0,1362.0,13990.0,970.0
44385,30,2022-05-15 06:42:43.652,681,1.0,20122.0,1362.0,13990.0,970.0
44387,30,2022-05-15 06:43:43.651,681,1.0,20123.0,1362.0,13990.0,970.0
44389,30,2022-05-15 06:44:51.649,682,1.0,20124.0,1362.0,13990.0,970.0
44391,30,2022-05-15 06:46:11.649,681,1.0,20124.0,1362.0,13990.0,970.0
44393,30,2022-05-15 06:47:11.648,12008,1.0,20122.0,1362.0,13990.0,970.0
44395,30,2022-05-15 06:48:23.651,681,1.0,20123.0,1362.0,13990.0,970.0
44397,30,2022-05-15 06:49:43.650,681,1.0,20124.0,1361.0,13990.0,990.0
44399,30,2022-05-15 06:50:51.650,680,1.0,20123.0,1361.0,13990.0,990.0
44401,30,2022-05-15 06:51:59.650,705,1.0,20121.0,1361.0,13990.0,990.0
44403,30,2022-05-15 06:53:07.651,680,1.0,20121.0,1361.0,13990.0,990.0
44405,30,2022-05-15 06:54:19.651,680,1.0,20123.0,1361.0,13990.0,990.0
44408,30,2022-05-15 06:55:27.651,680,1.0,2012.0,1361.0,13990.0,990.0
44410,30,2022-05-15 06:56:27.651,680,1.0,2012.0,1361.0,13990.0,990.0
44412,30,2022-05-15 06:57:39.651,681,1.0,20121.0,1361.0,13990.0,990.0
44413,30,2022-05-15 06:57:53.349,12587,1.0,,,,
44415,30,2022-05-15 06:58:47.650,681,1.0,20122.0,1361.0,13990.0,990.0
44417,30,2022-05-15 06:59:55.654,680,1.0,20122.0,1361.0,13990.0,990.0
44419,30,2022-05-15 07:01:15.650,681,1.0,20122.0,1361.0,13990.0,990.0
44421,30,2022-05-15 07:02:23.650,680,1.0,20124.0,1361.0,13990.0,990.0
44423,30,2022-05-15 07:03:23.650,682,1.0,20125.0,1361.0,13990.0,990.0
44425,30,2022-05-15 07:04:35.650,680,1.0,20127.0,1361.0,13990.0,990.0
44427,30,2022-05-15 07:05:43.650,681,1.0,20129.0,1361.0,13990.0,990.0
44429,30,2022-05-15 07:06:55.650,681,1.0,20278.0,1369.0,13990.0,980.0
44431,30,2022-05-15 07:08:15.650,681,1.0,20153.0,1363.0,13990.0,980.0
44433,30,2022-05-15 07:09:15.651,681,1.0,20156.0,1364.0,13990.0,980.0
44435,30,2022-05-15 07:10:27.650,680,1.0,20156.0,1364.0,13990.0,980.0
44437,30,2022-05-15 07:11:27.651,682,1.0,20159.0,1364.0,13990.0,970.0
44439,30,2022-05-15 07:12:27.651,681,1.0,20161.0,1364.0,13990.0,980.0
44442,30,2022-05-15 07:13:47.651,681,1.0,2015.0,1364.0,13990.0,980.0
44444,30,2022-05-15 07:14:47.653,681,1.0,20153.0,1364.0,13990.0,980.0
44445,30,2022-05-15 07:15:12.691,12588,1.0,,,,
44447,30,2022-05-15 07:15:55.650,943,0.0,13.0,0.0,0.0,960.0
44449,30,2022-05-15 07:16:55.648,943,0.0,13.0,0.0,0.0,960.0
44451,30,2022-05-15 07:17:55.650,943,0.0,13.0,0.0,0.0,900.0
44453,30,2022-05-15 07:18:55.650,944,0.0,13.0,0.0,0.0,850.0
44455,30,2022-05-15 07:19:55.650,943,0.0,13.0,0.0,0.0,790.0
44457,30,2022-05-15 07:20:55.653,943,0.0,13.0,0.0,0.0,710.0
44459,30,2022-05-15 07:21:55.650,942,0.0,13.0,0.0,0.0,630.0
44461,30,2022-05-15 07:22:55.650,941,0.0,13.0,0.0,0.0,550.0
44463,30,2022-05-15 07:23:55.650,942,0.0,13.0,0.0,0.0,470.0
44465,30,2022-05-15 07:24:55.650,942,0.0,13.0,0.0,0.0,410.0
44467,30,2022-05-15 07:25:55.651,943,0.0,13.0,0.0,0.0,340.0
44469,30,2022-05-15 07:26:55.649,941,0.0,13.0,0.0,0.0,280.0
44471,30,2022-05-15 07:27:55.650,941,0.0,13.0,0.0,0.0,220.0
44473,30,2022-05-15 07:28:55.652,941,0.0,13.0,0.0,0.0,170.0
44475,30,2022-05-15 07:29:55.650,945,0.0,13.0,0.0,0.0,140.0
44477,30,2022-05-15 07:30:55.650,944,0.0,13.0,0.0,0.0,80.0
44479,30,2022-05-15 07:31:55.650,941,0.0,13.0,0.0,0.0,40.0
44481,30,2022-05-15 07:32:55.650,941,0.0,13.0,0.0,0.0,0.0
44483,30,2022-05-15 07:33:55.650,941,0.0,13.0,0.0,0.0,-20.0
44485,30,2022-05-15 07:34:55.651,944,0.0,13.0,0.0,0.0,-50.0
44487,30,2022-05-15 07:35:55.651,941,0.0,13.0,0.0,0.0,-50.0
44489,30,2022-05-15 07:36:55.653,941,0.0,13.0,0.0,0.0,-80.0
44491,30,2022-05-15 07:37:55.650,941,0.0,13.0,0.0,0.0,-100.0
44493,30,2022-05-15 07:38:55.650,942,0.0,13.0,0.0,0.0,-100.0
44495,30,2022-05-15 07:39:55.651,942,0.0,13.0,0.0,0.0,-130.0
44497,30,2022-05-15 07:40:55.650,941,0.0,13.0,0.0,0.0,-130.0
44499,30,2022-05-15 07:41:55.650,943,0.0,13.0,0.0,0.0,-130.0
44501,30,2022-05-15 07:42:55.655,942,0.0,13.0,0.0,0.0,-130.0
44503,30,2022-05-15 07:43:55.650,942,0.0,13.0,0.0,0.0,-150.0
44505,30,2022-05-15 07:44:55.650,942,0.0,13.0,0.0,0.0,-150.0
44507,30,2022-05-15 07:45:55.649,941,0.0,13.0,0.0,0.0,-150.0
44509,30,2022-05-15 07:46:55.651,942,0.0,13.0,0.0,0.0,-150.0
44511,30,2022-05-15 07:47:55.650,942,0.0,13.0,0.0,0.0,-150.0
44513,30,2022-05-15 07:48:55.650,941,0.0,13.0,0.0,0.0,-150.0
44515,30,2022-05-15 07:49:55.651,942,0.0,13.0,0.0,0.0,-150.0
44517,30,2022-05-15 07:50:55.652,942,0.0,13.0,0.0,0.0,-150.0
44519,30,2022-05-15 07:51:55.650,942,0.0,13.0,0.0,0.0,-150.0
44521,30,2022-05-15 07:52:55.653,942,0.0,13.0,0.0,0.0,-170.0
44523,30,2022-05-15 07:53:55.650,941,0.0,13.0,0.0,0.0,-170.0
44525,30,2022-05-15 07:54:55.650,943,0.0,13.0,0.0,0.0,-170.0
44527,30,2022-05-15 07:55:55.650,942,0.0,13.0,0.0,0.0,-170.0
44529,30,2022-05-15 07:56:55.652,941,0.0,13.0,0.0,0.0,-170.0
44531,30,2022-05-15 07:57:55.650,945,0.0,13.0,0.0,0.0,-170.0
44533,30,2022-05-15 07:58:55.654,942,0.0,13.0,0.0,0.0,-170.0
44535,30,2022-05-15 07:59:55.650,942,0.0,13.0,0.0,0.0,-170.0
44537,30,2022-05-15 08:00:55.652,941,0.0,13.0,0.0,0.0,-170.0
44539,30,2022-05-15 08:01:55.651,941,0.0,13.0,0.0,0.0,-170.0
44541,30,2022-05-15 08:02:55.655,945,0.0,13.0,0.0,0.0,-170.0
44543,30,2022-05-15 08:03:55.653,943,0.0,13.0,0.0,0.0,-170.0
44545,30,2022-05-15 08:04:55.648,942,0.0,13.0,0.0,0.0,-170.0
44547,30,2022-05-15 08:05:55.650,942,0.0,13.0,0.0,0.0,-170.0
44549,30,2022-05-15 08:06:55.650,941,0.0,13.0,0.0,0.0,-170.0
44551,30,2022-05-15 08:07:55.650,942,0.0,13.0,0.0,0.0,-170.0
44553,30,2022-05-15 08:08:55.652,943,0.0,13.0,0.0,0.0,-170.0
44555,30,2022-05-15 08:09:55.651,943,0.0,13.0,0.0,0.0,-170.0
44557,30,2022-05-15 08:10:55.653,941,0.0,13.0,0.0,0.0,-170.0
44559,30,2022-05-15 08:11:55.650,942,0.0,13.0,0.0,0.0,-170.0
44561,30,2022-05-15 08:12:55.796,942,0.0,13.0,0.0,0.0,-170.0
44563,30,2022-05-15 08:13:55.650,943,0.0,13.0,0.0,0.0,-170.0
44565,30,2022-05-15 08:14:55.650,943,0.0,13.0,0.0,0.0,-170.0
44567,30,2022-05-15 08:15:55.649,942,0.0,13.0,0.0,0.0,-170.0
44569,30,2022-05-15 08:16:55.650,681,1.0,13.0,1398.0,13990.0,-150.0
44571,30,2022-05-15 08:18:03.650,680,1.0,20406.0,1386.0,13990.0,-130.0
44573,30,2022-05-15 08:19:11.648,681,1.0,20361.0,1386.0,13990.0,-130.0
44575,30,2022-05-15 08:20:11.649,679,1.0,20352.0,1386.0,13990.0,-130.0
44577,30,2022-05-15 08:21:31.648,941,0.0,13.0,0.0,0.0,-120.0
44579,30,2022-05-15 08:22:31.649,942,0.0,13.0,0.0,0.0,-130.0
44581,30,2022-05-15 08:23:31.648,942,0.0,13.0,0.0,0.0,-130.0
44583,30,2022-05-15 08:24:31.648,946,0.0,13.0,0.0,0.0,-130.0
44585,30,2022-05-15 08:25:31.648,943,0.0,13.0,0.0,0.0,-130.0
44587,30,2022-05-15 08:26:31.649,945,0.0,13.0,0.0,0.0,-130.0
44589,30,2022-05-15 08:27:31.649,789,1.0,20194.0,1381.0,13990.0,-110.0
44591,30,2022-05-15 08:28:39.652,679,1.0,19983.0,1373.0,13990.0,-70.0
